energy,zcr,spec_cent,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,tempo_mean,tempo_std,label
1.31E-11,0.010449219,1483.30354,-1101.47229,40.02342987,34.04039001,26.25705338,18.66812706,12.42357826,7.603776455,3.680014849,0.197048873,-2.822943449,-4.948259354,-5.724998474,-5.078999519,0.061999559,0.129405469,0.32538861,0.704339504,1,0.596405685,0.235483319,0.121697962,0.116804436,0.092190228,0.070154965,0.062918745,0.036014654,0.084918968,0.114327595,0.098643981,0,0.083929628,0.078663528,0.038812142,0.062534899,0.061687186,0.048655637,0.036804527,7.527217115,12.54627587,11.69948441,15.53145789,16.75489825,5.782255517,6.830902465,3.925794041,4.794869584,3.652381005,6.177453411,8.518051875,4.628555063,5.454433354,125,0,1
4.99E-12,0.017382813,1177.304956,-1109.074341,29.52103233,24.00601196,16.38934326,8.54979229,2.302372456,-1.110387325,-1.344465494,0.995029628,4.585225105,7.819594383,9.306483269,8.279367447,0.111696556,0.093171723,0.070574544,0.065367125,0.252955824,1,0.552069545,0.181099817,0.229330495,0.296378046,0.244541362,0.173339963,0.048464499,0.032280575,0.035479967,0.05146113,0.10365513,0,0.089046277,0.073355481,0.041065909,0.055596929,0.045267709,0.044035755,18.26642253,13.46671775,16.57630194,14.38401415,9.032507828,5.937565503,6.749683327,7.202352059,4.312271633,4.724132959,4.048039255,7.105532703,4.742041854,6.066057917,126.0480183,0,0
6.85E-13,0.022167969,1454.889685,-1125.56958,7.225359917,4.565252781,0.971196294,-2.55877161,-5.067857265,-5.916189671,-4.958539009,-2.573456526,0.461068541,3.204653978,4.831231117,4.863636971,0.028361598,0.058442902,0.061414234,0.066556171,0.323281288,1,0.33993873,0.060205102,0.038376015,0.034311853,0.023417505,0.018342588,0.015531931,0.022342095,0.017664755,0.035432748,0.107416973,0,0.046387386,0.02159524,0.017054614,0.018623998,0.012092021,0.008782421,11.37427891,9.922634831,15.76536227,16.87147323,19.46382295,9.863726607,8.129534077,4.663939041,2.119204868,3.873490058,5.361899849,5.533668087,4.754823675,5.696911117,126.0480183,0,0
7.65E-12,0.004882813,928.1573522,-1115.448364,22.23828697,21.44026756,20.23510742,18.77763557,17.22888565,15.71918774,14.32157326,13.04238415,11.83111,10.60596275,9.287371635,7.829495907,0.369612366,0.379923671,0.456086338,0.574953198,0.759334326,0.986092865,0.913713276,0.759431005,0.637121797,0.54999578,0.466833502,0.399921119,0.14355275,0.129756317,0.118391894,0.100850604,0.041363526,0.027814269,0.039695788,0.13893275,0.164443433,0.17548877,0.158416629,0.147692084,8.560892314,11.11017317,13.7488019,11.58040856,11.9865447,9.166657786,5.52662554,3.246507946,1.6870345,2.654242796,2.005845368,7.624881107,9.561781182,3.969949928,126.0480183,0,0
1.06E-11,0.013769531,1225.708675,-1093.963135,47.22993469,33.36989594,18.24064636,7.309503078,1.490499496,-1.61938405,-4.328825474,-6.953687191,-8.64367485,-9.012887955,-8.418568611,-7.078091621,0.145735413,0.12789914,0.188735798,0.205566674,0.350966424,0.241021544,0.249015853,0.371733308,0.655918658,1,0.666197777,0.259978086,0.087973483,0.051043723,0.091364674,0.063106276,0.034858566,0.047835656,0.104933985,0.139160767,0.142497018,0,0.080535069,0.155268416,11.77154097,9.608080015,14.10349241,14.13460088,17.06323841,6.166092536,8.553842037,3.948035343,4.606983955,1.728722533,2.321561845,4.159307233,3.389868087,7.65397656,125,0,0
3.60E-11,0.01484375,1301.039704,-1077.956299,66.08866882,44.01335526,22.63372231,11.2983799,9.425310135,10.09406948,7.855262756,2.575303555,-2.874106884,-6.495063782,-8.000182152,-7.217669487,0.299375534,0.559873343,0.682002306,0.69255805,0.735018492,0.691339314,0.691279054,0.630060077,0.72613132,0.628772974,0.444615602,0.301138252,0.1094383,0.225932479,0.187880129,0.078780636,0.247070551,0.216434076,0.126218498,0.145073608,0.288545132,0.228253305,0.160910293,0.080002576,8.470599239,7.379430074,11.03834113,16.22133287,18.02723498,5.794978281,7.247634887,3.629912256,1.403168968,3.523209336,2.014703146,2.357848534,2.438146562,4.602314133,125,0,0
4.57E-12,0.008691406,1197.988009,-1111.407227,27.01646805,23.70589256,19.16919899,14.43565083,10.28259373,6.973908901,4.266387939,1.664847732,-1.216578245,-4.378694534,-7.389543056,-9.586890221,0.612072647,0.642053425,0.71516335,0.459971428,0.220880225,0.177243203,0.216395065,0.237270594,0.340638638,0.612576962,0.891030669,1,0.276734084,0.180740416,0.160324693,0.239393339,0.19250378,0.128289297,0.060529195,0.099573307,0.143382117,0.16486986,0.092032589,0,14.59270828,11.23003909,14.38306827,19.92772362,19.99503699,10.07187623,9.073656539,6.761413988,5.40440159,3.516051815,4.482355656,9.255391907,10.16545607,8.581528144,126.0480183,0,1
7.58E-12,0.006835938,971.5447122,-1112.766235,25.66378212,23.82321167,21.04357529,17.62460709,13.82283306,9.84034729,5.880723,2.204503775,-0.882665753,-3.117742062,-4.385237217,-4.760668278,0.09548597,0.151812285,0.272170454,0.417893797,0.710279584,0.917565525,0.801376224,0.859896064,0.954719186,0.531150401,0.149286941,0.084450208,0.081494272,0.080593303,0.089861527,0.061706722,0.053070892,0.102603972,0.033839449,0.128379807,0.038371515,0.116830453,0.127204224,0.084057003,14.70434297,12.88181191,23.28536654,17.52160091,22.1108784,5.318205136,5.802439471,4.526622203,6.793568995,7.909429312,9.254167082,11.96570121,4.699693908,3.990261679,126.0480183,0,0
1.79E-11,0.012207031,923.1321189,-1089.368652,52.47985077,36.48737717,21.40189171,13.82312298,12.52904129,11.73890495,7.621653557,1.176949859,-4.32004261,-7.119546413,-7.671858311,-6.632548332,0.193005726,0.360740483,0.559923589,0.537616193,0.463181436,0.513141811,0.625413716,0.794009626,0.994304836,0.64220202,0.354269415,0.198946387,0.064644091,0.09324123,0.103732467,0.101135455,0.129397795,0.181126013,0.290349096,0.150342792,0.011390257,0.174724147,0.206145734,0.122283407,7.438241059,10.7615937,14.12939946,17.07428204,24.35414023,9.363949776,7.646709695,4.438991895,3.522082345,4.204739301,3.209671825,7.663756676,5.901115018,4.897146054,125,0,0
2.52E-11,0.00546875,528.6973617,-1093.568604,50.96818924,44.11287689,34.46872711,23.8990593,13.96340179,5.681405544,-0.400786728,-4.081157684,-5.45429039,-4.901190281,-3.022195816,-0.51865685,0.434394836,0.721875072,1,0.885873973,0.613451004,0.381380409,0.422647089,0.548321068,0.50955075,0.53589797,0.471283257,0.352145791,0.181674242,0.097041272,0,0.0360022,0.028257489,0.113941506,0.160161525,0.175627455,0.209141657,0.17921041,0.193997219,0.191854745,12.74993521,8.290629977,17.46132022,16.47834413,23.27567022,9.543725421,9.294983337,4.168327713,1.354759465,2.962783622,3.417463703,7.061255983,5.828283612,4.851274745,125,0,0
